capacity,eightd_has_key_dispenser,electric_bike_surcharge_waiver,external_id,has_kiosk,lat,lon,name,region_id,short_name,station_id,station_type
15,false,false,082565f9-1f3f-11e7-bf6b-3863bb334450,true,38.903732,-76.987211,Neal St & Trinidad Ave NE,42,31512,082565f9-1f3f-11e7-bf6b-3863bb334450,classic
15,false,false,0825f794-1f3f-11e7-bf6b-3863bb334450,true,38.801111,-77.068952,Eisenhower Ave & Mill Race Ln,40,31082,0825f794-1f3f-11e7-bf6b-3863bb334450,classic
19,false,false,08249be7-1f3f-11e7-bf6b-3863bb334450,true,38.90226780126366,-77.05911666154861,Georgetown Harbor / 30th St NW,42,31215,08249be7-1f3f-11e7-bf6b-3863bb334450,classic
39,false,false,0824c80d-1f3f-11e7-bf6b-3863bb334450,true,38.902061,-77.038322,17th & K St NW / Farragut Square,42,31233,0824c80d-1f3f-11e7-bf6b-3863bb334450,classic
15,false,false,08261bf4-1f3f-11e7-bf6b-3863bb334450,true,38.799267,-77.0447,Royal St & Wilkes St,40,31903,08261bf4-1f3f-11e7-bf6b-3863bb334450,classic
15,false,false,082638f2-1f3f-11e7-bf6b-3863bb334450,true,38.920687266851736,-77.233165204525,Greensboro Metro East,104,32211,082638f2-1f3f-11e7-bf6b-3863bb334450,classic
19,false,false,1b02c95b-63f9-41cd-8c0d-90334a29c7ce,true,38.832431,-77.049772,Main Line Blvd & E Glebe,40,31959,1b02c95b-63f9-41cd-8c0d-90334a29c7ce,classic
19,false,false,08247d46-1f3f-11e7-bf6b-3863bb334450,true,38.90304,-77.019027,5th & K St NW,42,31600,08247d46-1f3f-11e7-bf6b-3863bb334450,classic
11,false,false,0825802a-1f3f-11e7-bf6b-3863bb334450,true,38.988562,-77.096539,Norfolk Ave & Fairmont St,44,32000,0825802a-1f3f-11e7-bf6b-3863bb334450,classic
15,false,false,08251aba-1f3f-11e7-bf6b-3863bb334450,true,38.844711,-76.987823,Congress Heights Metro,42,31806,08251aba-1f3f-11e7-bf6b-3863bb334450,classic
13,false,false,0825e147-1f3f-11e7-bf6b-3863bb334450,true,39.085394,-77.145803,Rockville Metro East,43,32044,0825e147-1f3f-11e7-bf6b-3863bb334450,classic
15,false,false,5efd5ecc-a734-4e7b-9142-a500a317df60,true,38.95548,-76.940133,Baltimore Ave & Jefferson St,133,32403,5efd5ecc-a734-4e7b-9142-a500a317df60,classic
23,false,false,53ebbf74-92df-4665-b863-25bd2d96e0b7,true,38.908735,-77.029779,13th & O St NW/ Logan Circle,42,31311,53ebbf74-92df-4665-b863-25bd2d96e0b7,classic
12,false,false,0824eea3-1f3f-11e7-bf6b-3863bb334450,true,38.892164,-77.079375,Rhodes St & 16th St N,41,31018,0824eea3-1f3f-11e7-bf6b-3863bb334450,classic
11,false,false,082566d7-1f3f-11e7-bf6b-3863bb334450,true,38.852248,-77.105022,S George Mason Dr & S Four Mile Run Dr,41,31063,082566d7-1f3f-11e7-bf6b-3863bb334450,classic
15,false,false,b053927b-0761-40d0-a3ff-8a63fa1c7141,true,39.051022,-77.115438,Rockville Pike & Rose Ave,43,32083,b053927b-0761-40d0-a3ff-8a63fa1c7141,classic
15,false,false,772ca14a-a964-4745-ab93-37cc472d8ff2,true,38.840107,-76.9753,Southern Ave Metro,133,32409,772ca14a-a964-4745-ab93-37cc472d8ff2,classic
11,false,false,0825f807-1f3f-11e7-bf6b-3863bb334450,true,38.82175,-77.047494,Potomac Greens Dr & Slaters Ln,40,31083,0825f807-1f3f-11e7-bf6b-3863bb334450,classic
19,false,false,0824973c-1f3f-11e7-bf6b-3863bb334450,true,38.934881,-77.072755,Wisconsin Ave & Newark St NW,42,31302,0824973c-1f3f-11e7-bf6b-3863bb334450,classic
12,false,false,0d183ef3-5510-4afd-8e0d-8d240d119255,true,38.931089,-77.220729,Westbranch & Jones Branch Dr,104,32270,0d183ef3-5510-4afd-8e0d-8d240d119255,classic
19,false,false,08261aba-1f3f-11e7-bf6b-3863bb334450,true,38.893511,-77.041544,18th & C St NW,42,31284,08261aba-1f3f-11e7-bf6b-3863bb334450,classic
15,false,false,08259091-1f3f-11e7-bf6b-3863bb334450,true,38.876737,-76.994468,Potomac Ave & 8th St SE,42,31635,08259091-1f3f-11e7-bf6b-3863bb334450,classic
15,false,false,47ea64ba-00cd-4762-a90c-240244d1e4c8,true,38.896604,-77.039778,17th St & New York Ave NW,42,33200,47ea64ba-00cd-4762-a90c-240244d1e4c8,classic
